City,Day,FirstTeam,FirstToBat,Month,Result,SecondTeam,Venue,Winner,Year
Grenada,27,West Indies,1,6,0,Australia,"National Cricket Stadium, St George's",1,2008
Trinidad,28,West Indies,0,5,0,India,"Queen's Park Oval, Port of Spain",0,2006
Faisalabad,30,Pakistan,1,1,0,Zimbabwe,Iqbal Stadium,0,2008
Brisbane,21,India,1,2,0,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",1,2012
Cardiff,30,England,0,8,2,Pakistan,Sophia Gardens,0,2006
London,31,England,0,5,0,New Zealand,Lord's,1,2013
Chennai,20,India,0,3,0,West Indies,"MA Chidambaram Stadium, Chepauk",0,2011
Rajkot,11,India,1,2,0,Sri Lanka,Madhavrao Scindia Cricket Ground,1,2007
Mirpur,19,Bangladesh,1,2,0,India,Shere Bangla National Stadium,1,2011
Bulawayo,19,Zimbabwe,1,8,0,South Africa,Queens Sports Club,1,2014
Bangalore,6,Africa XI,1,6,0,Asia XI,M Chinnaswamy Stadium,1,2007
Chennai,9,Africa XI,1,6,0,Asia XI,"MA Chidambaram Stadium, Chepauk",1,2007
Nairobi,13,Kenya,0,8,0,Bangladesh,Gymkhana Club Ground,1,2006
Colombo,14,Sri Lanka,1,9,0,India,R Premadasa Stadium,1,2009
Southampton,9,England,0,9,0,Australia,The Rose Bowl,1,2009
Abu Dhabi,8,Pakistan,1,11,0,South Africa,Sheikh Zayed Stadium,1,2013
Leeds,1,England,0,7,0,Sri Lanka,Headingley,1,2006
Ahmedabad,24,South Africa,0,10,0,Sri Lanka,"Sardar Patel Stadium, Motera",0,2006
Grenada,22,West Indies,0,8,0,Bangladesh,"National Cricket Stadium, St George's",0,2014
Dublin,26,Ireland,0,5,0,Pakistan,Clontarf Cricket Club Ground,1,2013
Guyana,28,South Africa,1,3,0,Sri Lanka,Providence Stadium,0,2007
Dublin,20,Ireland,0,9,0,Canada,Clontarf Cricket Club Ground,0,2011
Antigua,8,Australia,1,4,0,England,"Sir Vivian Richards Stadium, North Sound",0,2007
Guyana,1,West Indies,1,4,0,Sri Lanka,Providence Stadium,1,2007
Mirpur,21,Bangladesh,1,6,0,India,Shere Bangla National Stadium,0,2015
Abu Dhabi,27,Australia,0,4,0,Pakistan,Sheikh Zayed Stadium,0,2009
Mirpur,15,Bangladesh,0,10,0,West Indies,Shere Bangla National Stadium,1,2011
Guyana,30,England,0,3,0,Ireland,Providence Stadium,0,2007
Colombo,7,Sri Lanka,1,12,0,England,R Premadasa Stadium,0,2014
Wellington,22,New Zealand,1,1,0,Pakistan,Westpac Stadium,0,2011
Mirpur,16,Bangladesh,1,3,0,India,Shere Bangla National Stadium,0,2012
Auckland,15,New Zealand,0,2,0,England,Eden Park,1,2008
Mirpur,8,Bangladesh,1,12,0,West Indies,Shere Bangla National Stadium,0,2012
Bristol,24,England,1,5,0,West Indies,County Ground,0,2009
Southampton,16,England,1,9,0,Australia,The Rose Bowl,1,2013
Chester-le-Street,7,England,1,7,0,Australia,Riverside Ground,0,2012
Chittagong,21,Bangladesh,0,11,0,Zimbabwe,Zahur Ahmed Chowdhury Stadium,0,2014
London,4,England,1,9,0,Australia,Kennington Oval,1,2009
Mumbai,13,Canada,1,3,0,New Zealand,Wankhede Stadium,1,2011
Karachi,21,Pakistan,1,1,0,Sri Lanka,National Stadium,1,2009
Wellington,31,New Zealand,1,1,0,Pakistan,Westpac Stadium,0,2015
Bulawayo,19,Zimbabwe,0,8,0,Bangladesh,Queens Sports Club,1,2011
Perth,10,Australia,0,2,0,Sri Lanka,Western Australia Cricket Association Ground,0,2012
Chester-le-Street,25,England,1,5,0,Sri Lanka,Riverside Ground,1,2014
Mumbai,18,New Zealand,1,3,0,Sri Lanka,Wankhede Stadium,1,2011
Mirpur,19,Bangladesh,1,6,2,India,Shere Bangla National Stadium,0,2014
Dunedin,22,Afghanistan,0,2,0,Sri Lanka,University Oval,1,2015
Hobart,21,Australia,0,1,0,England,Bellerive Oval,0,2011
Hamilton,17,New Zealand,1,2,0,England,Seddon Park,0,2013
Toronto,19,Canada,1,8,0,Kenya,Maple Leaf North-West Ground,0,2009
Dominica,26,West Indies,1,7,0,Bangladesh,"Windsor Park, Roseau",1,2009
St Lucia,21,West Indies,0,7,0,Pakistan,"Beausejour Stadium, Gros Islet",1,2013
Colombo,28,Sri Lanka,0,7,0,India,R Premadasa Stadium,1,2012
Nelson,4,New Zealand,0,1,0,West Indies,Saxton Oval,0,2014
Antigua,4,England,1,4,0,Sri Lanka,"Sir Vivian Richards Stadium, North Sound",1,2007
Nairobi,5,Kenya,0,2,0,Canada,Jaffery Sports Club Ground,0,2007
Southampton,6,England,1,9,0,India,The Rose Bowl,0,2011
Paarl,19,South Africa,0,1,0,New Zealand,Boland Park,1,2013
Mirpur,19,Bangladesh,1,4,0,Pakistan,Shere Bangla National Stadium,0,2015
Mumbai,17,India,1,10,0,Australia,Wankhede Stadium,0,2007
Hambantota,12,Sri Lanka,0,11,0,New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,2013
Christchurch,8,New Zealand,1,3,0,India,AMI Stadium,1,2009
Brisbane,17,Australia,1,1,0,England,"Brisbane Cricket Ground, Woolloongabba",0,2014
St Kitts,11,West Indies,1,7,0,New Zealand,"Warner Park, Basseterre",1,2012
Hobart,14,Australia,1,3,0,Scotland,Bellerive Oval,0,2015
Bulawayo,28,Zimbabwe,1,5,0,India,Queens Sports Club,0,2010
Dubai,8,Afghanistan,1,1,0,Scotland,ICC Academy,0,2015
Chandigarh,11,Ireland,1,3,0,West Indies,"Punjab Cricket Association Stadium, Mohali",1,2011
Hamilton,11,New Zealand,0,3,0,India,Seddon Park,1,2009
Birmingham,8,England,0,6,0,Australia,Edgbaston,0,2013
Mirpur,14,Bangladesh,1,1,0,Sri Lanka,Shere Bangla National Stadium,0,2009
Canberra,18,Afghanistan,1,2,0,Bangladesh,Manuka Oval,1,2015
Belfast,13,Netherlands,1,7,2,Scotland,"Civil Service Cricket Club, Stormont",0,2007
Dublin,17,Ireland,1,6,0,Australia,Clontarf Cricket Club Ground,1,2010
Ayr,17,Scotland,1,8,0,Afghanistan,Cambusdoon New Ground,0,2010
Bangalore,27,India,0,2,1,England,M Chinnaswamy Stadium,0,2011
Abu Dhabi,13,England,0,2,0,Pakistan,Sheikh Zayed Stadium,0,2012
Christchurch,11,New Zealand,1,2,0,Bangladesh,AMI Stadium,0,2010
Nelson,20,New Zealand,1,1,0,Sri Lanka,Saxton Oval,0,2015
Kimberley,22,South Africa,1,1,0,New Zealand,De Beers Diamond Oval,1,2013
Potchefstroom,20,South Africa,0,9,0,Zimbabwe,Sedgars Park,0,2006
Centurion,22,South Africa,0,11,0,England,SuperSport Park,1,2009
Grenada,18,Ireland,0,4,0,Sri Lanka,"National Cricket Stadium, St George's",1,2007
Mirpur,31,Bangladesh,0,10,0,New Zealand,Shere Bangla National Stadium,0,2013
Wellington,16,New Zealand,1,2,0,Australia,Westpac Stadium,0,2007
Guyana,7,Bangladesh,0,4,0,South Africa,Providence Stadium,0,2007
Brisbane,19,Australia,0,2,0,India,"Brisbane Cricket Ground, Woolloongabba",0,2012
Manchester,30,England,1,8,0,India,Old Trafford,0,2007
St Lucia,3,West Indies,1,4,0,England,"Beausejour Stadium, Gros Islet",1,2009
Port Elizabeth,9,South Africa,1,2,2,Pakistan,St George's Park,0,2007
Visakhapatnam,17,India,1,2,0,Sri Lanka,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,0,2007
Lahore,25,Bangladesh,1,6,0,Sri Lanka,Gaddafi Stadium,1,2008
Mirpur,11,Bangladesh,1,10,0,New Zealand,Shere Bangla National Stadium,0,2010
Mirpur,11,Bangladesh,1,3,0,Pakistan,Shere Bangla National Stadium,1,2012
Abu Dhabi,25,Pakistan,1,12,0,Sri Lanka,Sheikh Zayed Stadium,0,2013
Paarl,11,South Africa,0,1,0,Sri Lanka,Boland Park,0,2012
Bloemfontein,10,South Africa,0,3,0,Pakistan,Chevrolet Park,0,2013
Ahmedabad,8,West Indies,1,10,0,Zimbabwe,"Sardar Patel Stadium, Motera",0,2006
Leeds,1,England,1,7,0,Sri Lanka,Headingley,1,2011
Trinidad,6,West Indies,0,6,0,India,"Queen's Park Oval, Port of Spain",1,2011
Mirpur,17,Bangladesh,0,4,0,Pakistan,Shere Bangla National Stadium,0,2015
Lahore,24,Bangladesh,0,6,0,United Arab Emirates,Gaddafi Stadium,0,2008
Mirpur,17,Bangladesh,0,10,0,New Zealand,Shere Bangla National Stadium,0,2010
Kuala Lumpur,2,Afghanistan,0,5,0,United Arab Emirates,Kinrara Academy Oval,0,2014
Bangalore,2,England,0,3,0,Ireland,M Chinnaswamy Stadium,1,2011
Trinidad,25,Bangladesh,1,3,0,Bermuda,"Queen's Park Oval, Port of Spain",0,2007
Mirpur,3,Bangladesh,1,12,0,Pakistan,Shere Bangla National Stadium,1,2011
Bulawayo,1,Zimbabwe,0,8,0,India,Queens Sports Club,1,2013
Chester-le-Street,15,England,0,6,0,New Zealand,Riverside Ground,0,2008
Colombo,31,Sri Lanka,1,1,0,India,R Premadasa Stadium,1,2009
Christchurch,21,Pakistan,1,2,0,West Indies,Hagley Oval,1,2015
Vadodara,11,India,0,10,0,Australia,Reliance Stadium,1,2007
Bloemfontein,31,South Africa,0,10,0,Kenya,OUTsurance Oval,0,2008
Hambantota,10,Sri Lanka,0,11,2,New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2013
Colombo,3,Sri Lanka,1,2,0,West Indies,Sinhalese Sports Club Ground,0,2011
Colombo,31,Sri Lanka,0,7,0,India,R Premadasa Stadium,1,2012
Karachi,29,Pakistan,1,6,0,Sri Lanka,National Stadium,1,2008
Kochi,2,India,1,10,0,Australia,Nehru Stadium,1,2007
Mirpur,24,Bangladesh,1,6,0,India,Shere Bangla National Stadium,1,2015
Trinidad,8,West Indies,0,6,0,India,"Queen's Park Oval, Port of Spain",1,2011
Chennai,20,Kenya,0,2,0,New Zealand,"MA Chidambaram Stadium, Chepauk",1,2011
Chandigarh,1,Australia,0,11,0,New Zealand,"Punjab Cricket Association Stadium, Mohali",0,2006
Trinidad,3,West Indies,0,6,0,South Africa,"Queen's Park Oval, Port of Spain",1,2010
Manchester,10,England,1,7,0,Australia,Old Trafford,0,2012
Centurion,15,South Africa,0,3,0,Pakistan,SuperSport Park,1,2013
Nagpur,12,India,0,3,0,South Africa,"Vidarbha Cricket Association Stadium, Jamtha",1,2011
Bangalore,2,India,0,11,0,Australia,M Chinnaswamy Stadium,0,2013
Lahore,29,Pakistan,1,5,0,Zimbabwe,Gaddafi Stadium,0,2015
Benoni,2,Bermuda,1,12,0,Netherlands,Willowmoore Park,0,2006
Jamaica,28,West Indies,1,6,0,Sri Lanka,"Sabina Park, Kingston",0,2013
Centurion,30,Australia,1,9,0,Pakistan,SuperSport Park,0,2009
Vadodara,4,India,1,12,0,New Zealand,Reliance Stadium,0,2010
Port Elizabeth,6,South Africa,0,2,0,England,St George's Park,1,2016
Bristol,21,England,1,6,0,New Zealand,County Ground,1,2008
Antigua,5,West Indies,1,3,0,England,"Sir Vivian Richards Stadium, North Sound",1,2014
Abu Dhabi,23,Pakistan,1,11,0,Sri Lanka,Sheikh Zayed Stadium,0,2011
Mirpur,6,Bangladesh,0,12,0,Zimbabwe,Shere Bangla National Stadium,0,2010
Cardiff,14,South Africa,0,6,1,West Indies,Sophia Gardens,0,2013
Chandigarh,7,Bangladesh,1,10,0,Sri Lanka,"Punjab Cricket Association Stadium, Mohali",1,2006
Johannesburg,3,South Africa,1,2,0,West Indies,New Wanderers Stadium,0,2008
Colombo,23,Sri Lanka,1,7,0,Bangladesh,R Premadasa Stadium,0,2007
Auckland,14,India,1,3,0,Zimbabwe,Eden Park,0,2015
Chandigarh,2,India,1,11,0,Australia,"Punjab Cricket Association Stadium, Mohali",1,2009
Christchurch,2,New Zealand,1,1,0,Sri Lanka,Jade Stadium,0,2007
Hambantota,26,Sri Lanka,0,7,0,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2015
Mirpur,7,Bangladesh,0,1,0,India,Shere Bangla National Stadium,1,2010
Bangalore,13,Australia,0,3,0,Kenya,M Chinnaswamy Stadium,0,2011
London,31,England,1,8,0,South Africa,Kennington Oval,0,2012
Nagpur,14,India,1,10,0,Australia,Vidarbha Cricket Association Ground,1,2007
Faisalabad,7,Pakistan,1,12,0,West Indies,Iqbal Stadium,0,2006
Bangalore,23,India,0,11,0,England,M Chinnaswamy Stadium,0,2008
Abu Dhabi,1,Australia,1,5,0,Pakistan,Sheikh Zayed Stadium,0,2009
Colombo,5,Sri Lanka,1,2,0,India,R Premadasa Stadium,1,2009
Napier,19,New Zealand,0,1,0,India,McLean Park,0,2014
Bulawayo,9,Zimbabwe,0,8,0,Bangladesh,Queens Sports Club,1,2009
Chennai,10,Africa XI,1,6,0,Asia XI,"MA Chidambaram Stadium, Chepauk",1,2007
Lahore,26,Sri Lanka,0,6,0,United Arab Emirates,Gaddafi Stadium,0,2008
Mirpur,17,Bangladesh,1,2,0,Sri Lanka,Shere Bangla National Stadium,1,2014
Karachi,24,Pakistan,0,6,0,Hong Kong,National Stadium,0,2008
