City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
29,26,13,4,0,74,12,0,7,18,30,20,1,2013
5,22,11,10,0,76,5,0,12,14,27,13,0,2014
11,9,16,4,0,52,11,0,6,27,11,9,0,2009
19,20,23,12,0,78,7,0,1,28,56,12,0,2007
19,24,23,12,1,74,8,0,11,28,40,13,1,2008
48,20,25,7,1,87,8,0,1,28,51,6,0,2014
1,14,19,1,0,56,3,0,5,28,1,2,1,2008
53,12,13,3,0,86,6,2,4,15,57,17,0,2013
33,25,21,11,0,71,10,0,10,27,34,2,0,2011
26,21,5,11,0,35,2,0,5,20,26,3,0,2010
1,13,11,11,0,80,1,0,12,12,1,1,1,2010
1,4,12,1,0,90,1,0,12,12,1,2,1,2010
22,27,12,10,1,63,6,0,3,19,22,9,0,2010
54,12,15,5,0,85,3,0,8,18,58,18,0,2015
1,8,15,1,1,68,12,0,2,21,1,0,0,2006
19,19,24,12,1,76,7,0,6,28,40,11,1,2015
14,22,20,3,1,68,1,0,6,25,14,13,0,2010
55,6,11,16,1,82,9,0,13,14,59,5,0,2010
56,29,15,5,0,81,11,0,10,20,60,17,1,2009
10,30,13,17,0,80,1,0,18,16,10,19,1,2014
24,23,21,11,1,74,3,0,12,26,24,11,1,2007
50,23,10,4,0,71,1,0,12,13,53,4,0,2015
48,10,23,7,1,76,4,0,5,28,51,20,1,2007
36,21,0,2,0,23,8,0,5,20,37,5,1,2014
8,18,7,3,0,58,1,0,5,16,8,11,0,2009
19,8,17,12,0,61,2,0,11,26,40,11,0,2009
37,3,19,4,1,73,2,0,6,23,38,10,1,2011
57,3,19,1,1,58,11,0,4,26,61,0,0,2013
15,18,21,16,1,64,3,0,10,28,15,18,1,2007
1,10,24,1,0,63,5,0,11,30,1,1,1,2007
8,14,9,3,0,49,1,0,4,20,8,19,0,2007
11,15,15,10,0,71,2,0,6,20,11,7,0,2012
47,30,25,11,0,86,12,0,6,26,50,5,1,2012
15,23,24,7,0,72,4,0,6,29,15,6,1,2011
5,3,9,10,1,49,7,0,3,20,5,12,1,2010
5,7,9,6,0,65,6,0,7,14,27,13,1,2013
54,7,15,4,1,78,1,0,7,19,58,36,0,2009
58,12,12,18,1,85,8,2,17,15,62,9,0,2008
5,20,10,10,1,64,6,0,12,18,27,17,1,2006
20,21,11,10,0,80,8,0,11,14,20,20,0,2007
29,6,11,4,1,69,1,0,12,17,30,17,1,2007
1,10,11,11,1,48,1,0,12,20,1,2,0,2010
12,28,8,14,1,57,2,0,7,16,12,13,1,2011
5,30,13,10,1,62,6,0,3,21,27,12,1,2010
17,6,7,13,1,80,5,0,12,10,17,20,1,2014
1,11,18,1,0,62,11,0,2,24,1,0,0,2015
19,19,23,3,0,74,3,0,6,28,40,8,1,2011
12,7,11,16,1,55,3,0,17,20,12,11,0,2011
29,24,15,4,1,82,3,0,5,18,30,10,0,2015
15,15,23,7,1,76,4,2,12,26,15,17,0,2008
48,27,24,7,1,82,6,0,3,28,51,17,1,2008
24,28,23,7,0,74,5,0,11,28,24,11,0,2006
14,21,22,11,1,83,2,0,12,26,14,13,1,2012
38,30,11,10,0,83,8,2,6,13,39,12,0,2006
5,31,10,10,0,68,5,0,4,16,5,9,1,2013
47,20,23,11,0,76,3,0,7,27,50,8,0,2011
59,11,15,11,1,60,2,0,12,22,63,13,1,2007
1,19,13,1,1,47,2,0,11,22,1,1,1,2011
36,19,0,2,1,29,8,0,5,18,37,11,1,2014
60,6,19,19,1,73,6,0,20,26,64,9,1,2007
47,9,23,19,1,57,6,0,20,34,50,9,1,2007
19,14,23,12,1,74,9,0,11,28,40,13,1,2009
20,9,8,10,0,62,9,0,3,14,20,14,1,2009
11,8,16,6,1,55,11,0,5,26,11,8,1,2013
21,1,13,10,0,66,7,0,12,20,21,9,1,2006
61,24,17,5,0,53,10,0,12,27,65,4,0,2006
48,22,25,7,0,84,8,0,1,27,51,20,0,2014
17,26,7,13,0,71,5,0,6,13,17,16,1,2013
17,20,8,13,0,81,9,0,16,10,17,17,0,2011
6,8,22,3,1,73,4,0,10,27,6,20,0,2007
1,21,24,1,1,64,6,0,11,30,1,5,0,2015
11,27,8,3,0,19,4,0,6,34,11,15,0,2009
1,15,21,1,0,59,10,0,7,29,1,0,1,2011
19,7,23,12,1,82,12,0,10,28,40,10,0,2014
54,22,12,4,1,79,1,0,6,16,58,19,0,2011
1,16,12,1,1,47,3,0,11,20,1,1,0,2012
29,15,14,4,0,74,2,0,10,20,30,18,1,2008
1,8,14,1,1,51,12,0,7,25,1,0,0,2012
42,24,9,10,1,75,5,0,7,14,44,10,0,2009
20,16,4,10,1,65,9,0,3,12,20,15,1,2013
46,7,14,10,1,94,7,0,3,16,49,8,0,2012
62,21,19,1,0,68,11,0,2,24,66,1,0,2014
5,4,8,10,1,63,9,0,3,14,27,20,1,2009
2,13,11,16,1,34,3,0,4,28,67,4,1,2011
3,21,6,6,1,37,1,0,12,22,3,11,1,2009
54,31,16,4,1,89,1,0,6,18,58,18,0,2015
36,19,2,2,0,46,8,0,1,15,37,12,1,2011
16,10,13,3,0,39,2,0,12,31,16,18,0,2012
46,25,10,10,1,86,5,0,12,12,49,9,1,2014
2,18,18,4,1,52,3,0,12,27,67,5,1,2011
1,19,26,1,1,80,6,2,11,30,1,1,0,2014
50,22,13,9,0,85,2,0,12,16,53,5,1,2015
8,21,12,3,0,65,1,0,10,19,8,18,0,2011
37,17,13,4,1,57,2,0,10,20,38,15,0,2013
63,19,17,16,1,71,8,0,17,22,68,11,0,2009
30,26,21,7,1,66,7,0,1,26,31,8,1,2009
15,21,24,7,0,76,7,0,6,28,15,13,1,2013
19,28,23,12,0,73,7,0,11,28,40,15,1,2012
6,4,18,10,1,65,4,0,12,24,6,7,1,2007
20,6,13,10,1,88,9,0,11,15,20,31,0,2011
64,19,15,5,0,57,1,0,4,24,69,25,1,2013
1,19,21,1,1,68,4,0,6,24,1,4,0,2015
2,17,19,11,1,55,10,0,3,28,67,4,0,2007
65,12,23,12,0,85,11,0,4,27,70,5,1,2013
10,8,9,4,1,63,3,0,11,18,71,9,1,2009
14,17,17,3,1,60,1,0,10,26,14,13,0,2014
43,11,23,7,1,72,7,0,4,28,45,19,1,2012
8,14,5,3,1,54,3,0,18,15,8,20,0,2015
36,28,7,2,1,36,5,0,11,16,37,12,0,2010
4,8,13,9,1,65,1,0,18,22,4,9,0,2015
37,11,10,4,0,58,3,0,11,18,38,27,1,2009
53,8,8,10,0,75,6,0,3,12,57,14,0,2013
1,14,16,1,1,82,1,0,12,18,1,1,0,2009
52,18,13,9,1,61,2,0,1,21,55,11,1,2015
45,13,12,14,1,91,7,2,18,14,48,9,0,2007
17,17,13,13,1,81,6,0,3,16,17,8,1,2010
58,17,12,18,1,83,8,0,9,15,62,14,0,2010
11,13,13,10,0,68,2,0,6,19,11,9,0,2012
10,11,13,4,1,94,2,0,1,14,71,10,0,2010
