City,Day,FirstTeam,FirstToBat,IndianPlayer1,IndianPlayer10,IndianPlayer11,IndianPlayer2,IndianPlayer3,IndianPlayer4,IndianPlayer5,IndianPlayer6,IndianPlayer7,IndianPlayer8,IndianPlayer9,Month,OppositePlayer1,OppositePlayer10,OppositePlayer11,OppositePlayer2,OppositePlayer3,OppositePlayer4,OppositePlayer5,OppositePlayer6,OppositePlayer7,OppositePlayer8,OppositePlayer9,Result,SecondTeam,Venue,Winner,Year
Ranchi,16,India,1,KM Jadhav,STR Binny,AM Rahane,AT Rayudu,V Kohli,AR Patel,RG Sharma,RV Uthappa,R Ashwin,KV Sharma,DS Kulkarni,11,RMS Eranga,BAW Mendis,DPMD Jayawardene,TM Dilshan,HDRL Thirimanne,N Dickwella,PLS Gamage,NLTC Perera,AD Mathews,LD Chandimal,S Prasanna,0,Sri Lanka,JSCA International Stadium Complex,0,2014
Napier,3,New Zealand,1,P Kumar,SR Tendulkar,,MS Dhoni,V Sehwag,Z Khan,Yuvraj Singh,Harbhajan Singh,MM Patel,SK Raina,YK Pathan,3,JD Ryder,JDP Oram,BB McCullum,NT Broom,IE O'Brien,LRPL Taylor,KD Mills,MJ Guptill,IG Butler,DL Vettori,GD Elliott,0,India,McLean Park,1,2009
Canberra,20,Australia,0,B Kumar,RA Jadeja,AM Rahane,R Dhawan,MS Dhoni,I Sharma,V Kohli,Gurkeerat Singh,RG Sharma,S Dhawan,UT Yadav,1,GJ Maxwell,NM Lyon,KW Richardson,DA Warner,JP Faulkner,SPD Smith,MR Marsh,GJ Bailey,AJ Finch,MS Wade,JW Hastings,0,India,Manuka Oval,0,2016
London,11,India,1,B Kumar,,,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,6,R Rampaul,KA Pollard,DJG Sammy,DM Bravo,RR Sarwan,CH Gayle,SP Narine,KAJ Roach,DJ Bravo,J Charles,MN Samuels,0,West Indies,Kennington Oval,0,2013
Durban,22,South Africa,0,AB Agarkar,SR Tendulkar,W Jaffer,D Mongia,MS Dhoni,R Dravid,Z Khan,Harbhajan Singh,M Kaif,MM Patel,SK Raina,11,AB de Villiers,GC Smith,JH Kallis,CK Langeveldt,LE Bosman,MV Boucher,HH Gibbs,M Ntini,SM Pollock,A Nel,JM Kemp,0,India,Kingsmead,0,2006
Colombo,24,Sri Lanka,1,P Kumar,SK Raina,Yuvraj Singh,MS Dhoni,V Kohli,G Gambhir,Z Khan,S Badrinath,RG Sharma,Harbhajan Singh,MM Patel,8,KMDN Kulasekara,BAW Mendis,DPMD Jayawardene,T Thushara,LPC Silva,TM Dilshan,WPUJC Vaas,M Muralitharan,ST Jayasuriya,KC Sangakkara,CK Kapugedera,0,India,R Premadasa Stadium,1,2008
Cuttack,21,India,1,V Sehwag,SR Tendulkar,,A Nehra,Z Khan,I Sharma,G Gambhir,KD Karthik,Harbhajan Singh,RA Jadeja,Yuvraj Singh,12,S Randiv,BAW Mendis,DPMD Jayawardene,SHT Kandamby,KMDN Kulasekara,TM Dilshan,SL Malinga,WU Tharanga,KC Sangakkara,CK Kapugedera,UWMBCA Welegedara,0,Sri Lanka,Barabati Stadium,0,2009
Kolkata,25,India,0,P Kumar,R Vinay Kumar,AM Rahane,MS Dhoni,VR Aaron,V Kohli,G Gambhir,RA Jadeja,R Ashwin,MK Tiwary,SK Raina,10,SC Meaker,AN Cook,SR Patel,GP Swann,C Kieswetter,IJL Trott,TT Bresnan,JM Bairstow,IR Bell,ST Finn,RS Bopara,0,England,Eden Gardens,0,2011
Jaipur,21,India,0,P Kumar,SR Tendulkar,S Sreesanth,MS Dhoni,V Sehwag,V Kohli,A Nehra,KD Karthik,RA Jadeja,SK Raina,YK Pathan,2,DW Steyn,JA Morkel,JH Kallis,AB de Villiers,CK Langeveldt,LE Bosman,J Botha,HH Gibbs,MV Boucher,AN Petersen,WD Parnell,0,South Africa,Sawai Mansingh Stadium,0,2010
Mirpur,13,India,0,MS Dhoni,Yuvraj Singh,S Sreesanth,V Sehwag,V Kohli,G Gambhir,Z Khan,A Nehra,Harbhajan Singh,RA Jadeja,SK Raina,1,S Randiv,NLTC Perera,DPMD Jayawardene,TT Samaraweera,KMDN Kulasekara,T Thushara,TM Dilshan,SHT Kandamby,UWMBCA Welegedara,WU Tharanga,KC Sangakkara,0,Sri Lanka,Shere Bangla National Stadium,1,2010
Margao,14,India,1,AB Agarkar,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,R Dravid,Z Khan,KD Karthik,SC Ganguly,Harbhajan Singh,MM Patel,2,RP Arnold,MS Atapattu,DPMD Jayawardene,KMDN Kulasekara,TM Dilshan,HMCM Bandara,ST Jayasuriya,WU Tharanga,KC Sangakkara,CRD Fernando,MF Maharoof,0,Sri Lanka,"Nehru Stadium, Fatorda",0,2007
Trinidad,23,India,1,AB Agarkar,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,R Dravid,Z Khan,RV Uthappa,SC Ganguly,Harbhajan Singh,MM Patel,3,RP Arnold,CRD Fernando,DPMD Jayawardene,LPC Silva,TM Dilshan,SL Malinga,ST Jayasuriya,WU Tharanga,KC Sangakkara,WPUJC Vaas,M Muralitharan,0,Sri Lanka,"Queen's Park Oval, Port of Spain",1,2007
Colombo,8,Sri Lanka,0,MS Dhoni,YK Pathan,SK Raina,V Sehwag,I Sharma,L Balaji,G Gambhir,RG Sharma,Yuvraj Singh,RA Jadeja,IK Pathan,2,SHT Kandamby,MF Maharoof,DPMD Jayawardene,T Thushara,TM Dilshan,KMDN Kulasekara,ST Jayasuriya,KC Sangakkara,CK Kapugedera,M Muralitharan,BAW Mendis,0,India,R Premadasa Stadium,0,2009
Mirpur,10,Bangladesh,0,RR Powar,Yuvraj Singh,S Sreesanth,D Mongia,MS Dhoni,V Sehwag,R Dravid,Z Khan,G Gambhir,KD Karthik,MM Patel,5,Mohammad Ashraful,Habibul Bashar,Shakib Al Hasan,Tamim Iqbal,Mushfiqur Rahim,Mohammad Rafique,Javed Omar,Syed Rasel,Shahadat Hossain,Abdur Razzak,Aftab Ahmed,0,India,Shere Bangla National Stadium,1,2007
Chennai,30,India,0,B Kumar,Yuvraj Singh,AB Dinda,MS Dhoni,V Sehwag,V Kohli,G Gambhir,I Sharma,RG Sharma,R Ashwin,SK Raina,12,Saeed Ajmal,Misbah-ul-Haq,,Younis Khan,Nasir Jamshed,Umar Gul,Junaid Khan,Mohammad Hafeez,Azhar Ali,Shoaib Malik,Mohammad Irfan,0,Pakistan,"MA Chidambaram Stadium, Chepauk",1,2012
Southampton,21,England,0,PP Chawla,Yuvraj Singh,SR Tendulkar,AB Agarkar,RP Singh,MS Dhoni,R Dravid,Z Khan,G Gambhir,KD Karthik,SC Ganguly,8,SCJ Broad,KP Pietersen,,MJ Prior,IR Bell,A Flintoff,PD Collingwood,JM Anderson,MS Panesar,AD Mascarenhas,AN Cook,0,India,The Rose Bowl,0,2007
Chandigarh,29,India,0,MS Dhoni,SR Tendulkar,S Sreesanth,D Mongia,R Dravid,V Sehwag,Harbhajan Singh,M Kaif,MM Patel,IK Pathan,SK Raina,10,RT Ponting,MG Johnson,,MJ Clarke,B Lee,NW Bracken,A Symonds,DR Martyn,SR Watson,GD McGrath,AC Gilchrist,0,Australia,"Punjab Cricket Association Stadium, Mohali",1,2006
Mirpur,10,India,1,A Mishra,S Tyagi,,V Kohli,Z Khan,G Gambhir,KD Karthik,RA Jadeja,SK Raina,Yuvraj Singh,S Sreesanth,1,S Randiv,NLTC Perera,DPMD Jayawardene,TT Samaraweera,SHT Kandamby,T Thushara,TM Dilshan,RAS Lakmal,UWMBCA Welegedara,WU Tharanga,KC Sangakkara,0,Sri Lanka,Shere Bangla National Stadium,0,2010
Trinidad,28,West Indies,0,AB Agarkar,Yuvraj Singh,S Sreesanth,MS Dhoni,V Sehwag,R Dravid,RV Uthappa,Harbhajan Singh,M Kaif,MM Patel,SK Raina,5,D Mohammed,JE Taylor,,CH Gayle,D Ramdin,BC Lara,DR Smith,WW Hinds,DJ Bravo,RR Sarwan,S Chattergoon,0,India,"Queen's Park Oval, Port of Spain",0,2006
Brisbane,21,India,1,V Sehwag,SR Tendulkar,R Vinay Kumar,V Kohli,G Gambhir,R Ashwin,UT Yadav,RA Jadeja,PA Patel,IK Pathan,SK Raina,2,HMRKB Herath,MF Maharoof,DPMD Jayawardene,KMDN Kulasekara,TM Dilshan,HDRL Thirimanne,SL Malinga,KC Sangakkara,NLTC Perera,AD Mathews,LD Chandimal,0,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",1,2012
Chennai,20,India,0,MS Dhoni,SR Tendulkar,YK Pathan,V Kohli,G Gambhir,Z Khan,Harbhajan Singh,R Ashwin,MM Patel,SK Raina,Yuvraj Singh,3,R Rampaul,KA Pollard,DJG Sammy,DS Smith,DM Bravo,SJ Benn,RR Sarwan,DC Thomas,AD Russell,KA Edwards,D Bishoo,0,West Indies,"MA Chidambaram Stadium, Chepauk",0,2011
Rajkot,11,India,1,SR Tendulkar,A Kumble,S Sreesanth,MS Dhoni,R Dravid,V Sehwag,RV Uthappa,KD Karthik,SC Ganguly,Harbhajan Singh,MM Patel,2,RP Arnold,MS Atapattu,DPMD Jayawardene,KMDN Kulasekara,TM Dilshan,HMCM Bandara,SL Malinga,ST Jayasuriya,WU Tharanga,KC Sangakkara,MF Maharoof,0,Sri Lanka,Madhavrao Scindia Cricket Ground,1,2007
Mirpur,19,Bangladesh,1,V Sehwag,S Sreesanth,,V Kohli,G Gambhir,Z Khan,Harbhajan Singh,MM Patel,YK Pathan,Yuvraj Singh,SR Tendulkar,2,Junaid Siddique,Raqibul Hasan,Shafiul Islam,Tamim Iqbal,Mushfiqur Rahim,Naeem Islam,Rubel Hossain,Mahmudullah,Imrul Kayes,Abdur Razzak,Shakib Al Hasan,0,India,Shere Bangla National Stadium,1,2011
Colombo,14,Sri Lanka,1,RP Singh,YK Pathan,SR Tendulkar,MS Dhoni,R Dravid,V Kohli,A Nehra,I Sharma,Yuvraj Singh,Harbhajan Singh,SK Raina,9,KMDN Kulasekara,BAW Mendis,DPMD Jayawardene,T Thushara,TM Dilshan,SHT Kandamby,SL Malinga,ST Jayasuriya,KC Sangakkara,CK Kapugedera,AD Mathews,0,India,R Premadasa Stadium,1,2009
Mirpur,21,Bangladesh,1,AT Rayudu,DS Kulkarni,SK Raina,B Kumar,MS Dhoni,V Kohli,AR Patel,RG Sharma,S Dhawan,RA Jadeja,R Ashwin,6,Mashrafe Mortaza,Shakib Al Hasan,Litton Das,Soumya Sarkar,Tamim Iqbal,Mushfiqur Rahim,Sabbir Rahman,Rubel Hossain,Mustafizur Rahman,Taskin Ahmed,Nasir Hossain,0,India,Shere Bangla National Stadium,0,2015
Mirpur,16,Bangladesh,1,P Kumar,SR Tendulkar,AB Dinda,MS Dhoni,V Kohli,G Gambhir,RG Sharma,RA Jadeja,R Ashwin,IK Pathan,SK Raina,3,Mashrafe Mortaza,Nasir Hossain,Shafiul Islam,Nazimuddin,Tamim Iqbal,Jahurul Islam,Mushfiqur Rahim,Mahmudullah,Shahadat Hossain,Abdur Razzak,Shakib Al Hasan,0,India,Shere Bangla National Stadium,0,2012
Mirpur,19,Bangladesh,1,AT Rayudu,AM Rahane,CA Pujara,MM Sharma,AR Patel,RV Uthappa,WP Saha,UT Yadav,MK Tiwary,SK Raina,STR Binny,6,Mashrafe Mortaza,,,Al-Amin Hossain,Mahmudullah,Taskin Ahmed,Nasir Hossain,Sohag Gazi,Shakib Al Hasan,,,2,India,Shere Bangla National Stadium,0,2014
Colombo,28,Sri Lanka,0,R Sharma,SK Raina,AB Dinda,MS Dhoni,V Sehwag,V Kohli,Z Khan,G Gambhir,RG Sharma,R Ashwin,IK Pathan,7,HMRKB Herath,I Udana,DPMD Jayawardene,TM Dilshan,BMAJ Mendis,SL Malinga,WU Tharanga,KC Sangakkara,NLTC Perera,AD Mathews,LD Chandimal,0,India,R Premadasa Stadium,1,2012
Southampton,6,England,1,P Kumar,R Vinay Kumar,AM Rahane,MS Dhoni,R Dravid,V Kohli,R Ashwin,PA Patel,MM Patel,MK Tiwary,SK Raina,9,SCJ Broad,SR Patel,,GP Swann,C Kieswetter,JW Dernbach,TT Bresnan,IR Bell,RS Bopara,JM Anderson,AN Cook,0,India,The Rose Bowl,0,2011
Mumbai,17,India,1,RP Singh,Yuvraj Singh,SR Tendulkar,MS Dhoni,Z Khan,M Kartik,KD Karthik,SC Ganguly,RV Uthappa,Harbhajan Singh,IK Pathan,10,RT Ponting,MG Johnson,GB Hogg,BJ Hodge,MJ Clarke,BJ Haddin,B Lee,NW Bracken,A Symonds,AC Gilchrist,JR Hopes,0,Australia,Wankhede Stadium,0,2007
Christchurch,8,New Zealand,1,P Kumar,SR Tendulkar,YK Pathan,MS Dhoni,V Sehwag,G Gambhir,Z Khan,Harbhajan Singh,MM Patel,SK Raina,Yuvraj Singh,3,JD Ryder,BB McCullum,TG Southee,LRPL Taylor,JS Patel,KD Mills,MJ Guptill,IG Butler,PD McGlashan,GD Elliott,JDP Oram,0,India,AMI Stadium,1,2009
Bulawayo,28,Zimbabwe,1,A Mishra,AB Dinda,M Vijay,V Kohli,RG Sharma,KD Karthik,R Vinay Kumar,RA Jadeja,UT Yadav,SK Raina,YK Pathan,5,BRM Taylor,P Utseya,CR Ervine,AG Cremer,CB Mpofu,GA Lamb,AM Blignaut,E Chigumbura,RW Price,H Masakadza,CK Coventry,0,India,Queens Sports Club,0,2010
Hamilton,11,New Zealand,0,P Kumar,,,I Sharma,V Sehwag,Z Khan,G Gambhir,Harbhajan Singh,YK Pathan,Yuvraj Singh,,3,JD Ryder,BB McCullum,EP Thompson,JDP Oram,IE O'Brien,LRPL Taylor,KD Mills,MJ Guptill,PD McGlashan,DL Vettori,GD Elliott,0,India,Seddon Park,1,2009
Bangalore,27,India,0,PP Chawla,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,V Kohli,G Gambhir,Z Khan,Harbhajan Singh,MM Patel,YK Pathan,2,GP Swann,JM Anderson,KP Pietersen,MH Yardy,IJL Trott,A Shahzad,TT Bresnan,AJ Strauss,MJ Prior,IR Bell,PD Collingwood,1,England,M Chinnaswamy Stadium,0,2011
Brisbane,19,Australia,0,MS Dhoni,SR Tendulkar,R Vinay Kumar,V Kohli,Z Khan,G Gambhir,RG Sharma,UT Yadav,RA Jadeja,IK Pathan,SK Raina,2,RT Ponting,BW Hilfenhaus,MEK Hussey,DA Warner,PJ Forrest,XJ Doherty,MS Wade,B Lee,MA Starc,DT Christian,DJ Hussey,0,India,"Brisbane Cricket Ground, Woolloongabba",0,2012
Manchester,30,England,1,AB Agarkar,Yuvraj Singh,SR Tendulkar,PP Chawla,RP Singh,RR Powar,MS Dhoni,R Dravid,Z Khan,KD Karthik,SC Ganguly,8,OA Shah,AN Cook,KP Pietersen,SCJ Broad,MJ Prior,IR Bell,RS Bopara,A Flintoff,PD Collingwood,JM Anderson,MS Panesar,0,India,Old Trafford,0,2007
Visakhapatnam,17,India,1,AB Agarkar,,,V Sehwag,Z Khan,RV Uthappa,KD Karthik,SC Ganguly,Harbhajan Singh,Yuvraj Singh,S Sreesanth,2,RP Arnold,MS Atapattu,DPMD Jayawardene,LPC Silva,TM Dilshan,HMCM Bandara,SL Malinga,ST Jayasuriya,KC Sangakkara,CRD Fernando,MF Maharoof,0,Sri Lanka,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,0,2007
Trinidad,6,West Indies,0,A Mishra,YK Pathan,SK Raina,P Kumar,V Kohli,S Badrinath,RG Sharma,S Dhawan,Harbhajan Singh,PA Patel,MM Patel,6,R Rampaul,A Martin,DJG Sammy,DM Bravo,RR Sarwan,LMP Simmons,KA Edwards,DJ Bravo,CS Baugh,D Bishoo,MN Samuels,0,India,"Queen's Park Oval, Port of Spain",1,2011
Bulawayo,1,Zimbabwe,0,A Mishra,,,MM Sharma,JD Unadkat,RG Sharma,RA Jadeja,SK Raina,Mohammed Shami,CA Pujara,,8,BRM Taylor,V Sibanda,TL Chatara,SC Williams,MT Chinouya,BV Vitori,Sikandar Raza,MN Waller,H Masakadza,E Chigumbura,P Utseya,0,India,Queens Sports Club,1,2013
Colombo,31,Sri Lanka,1,P Kumar,SR Tendulkar,YK Pathan,MS Dhoni,PP Ojha,V Sehwag,I Sharma,G Gambhir,Z Khan,SK Raina,Yuvraj Singh,1,KMDN Kulasekara,MF Maharoof,DPMD Jayawardene,T Thushara,TM Dilshan,SHT Kandamby,ST Jayasuriya,M Muralitharan,KC Sangakkara,CK Kapugedera,BAW Mendis,0,India,R Premadasa Stadium,1,2009
Vadodara,11,India,0,RP Singh,Yuvraj Singh,SR Tendulkar,MS Dhoni,R Dravid,Z Khan,RV Uthappa,M Kartik,SC Ganguly,Harbhajan Singh,IK Pathan,10,RT Ponting,,,ML Hayden,B Lee,NW Bracken,AC Gilchrist,JR Hopes,MG Johnson,GB Hogg,,0,Australia,Reliance Stadium,1,2007
Colombo,31,Sri Lanka,0,V Sehwag,AB Dinda,,V Kohli,Z Khan,G Gambhir,RG Sharma,R Ashwin,IK Pathan,MK Tiwary,SK Raina,7,HMRKB Herath,LD Chandimal,DPMD Jayawardene,TM Dilshan,HDRL Thirimanne,BMAJ Mendis,SL Malinga,WU Tharanga,N Pradeep,NLTC Perera,AD Mathews,0,India,R Premadasa Stadium,1,2012
Kochi,2,India,1,SR Tendulkar,Yuvraj Singh,S Sreesanth,RR Powar,MS Dhoni,R Dravid,Z Khan,G Gambhir,RV Uthappa,Harbhajan Singh,IK Pathan,10,BJ Hodge,MG Johnson,GB Hogg,MJ Clarke,BJ Haddin,ML Hayden,B Lee,A Symonds,AC Gilchrist,SR Clark,JR Hopes,0,Australia,Nehru Stadium,1,2007
Mirpur,24,Bangladesh,1,AT Rayudu,SK Raina,STR Binny,MS Dhoni,V Kohli,AR Patel,RG Sharma,S Dhawan,UT Yadav,R Ashwin,DS Kulkarni,6,Mashrafe Mortaza,Shakib Al Hasan,Litton Das,Soumya Sarkar,Arafat Sunny,Tamim Iqbal,Mushfiqur Rahim,Sabbir Rahman,Rubel Hossain,Mustafizur Rahman,Nasir Hossain,0,India,Shere Bangla National Stadium,1,2015
Trinidad,8,West Indies,0,A Mishra,SK Raina,,P Kumar,V Kohli,RG Sharma,S Dhawan,Harbhajan Singh,PA Patel,MM Patel,YK Pathan,6,R Rampaul,A Martin,DJG Sammy,MN Samuels,RR Sarwan,LMP Simmons,KA Edwards,DJ Bravo,CS Baugh,D Bishoo,KA Pollard,0,India,"Queen's Park Oval, Port of Spain",1,2011
